Nombre,Financiamiento,Cantidad de establecimientos
Buenos Aires,Estatal,307.0
Buenos Aires,Privado,591.0
Catamarca,Estatal,171.0
Catamarca,Privado,370.0
Chaco,Estatal,174.0
Chaco,Privado,382.0
Chubut,Estatal,170.0
Chubut,Privado,362.0
Ciudad Autónoma de Buenos Aires,Estatal,85.0
Ciudad Autónoma de Buenos Aires,Privado,124.0
Corrientes,Estatal,192.0
Corrientes,Privado,426.0
Córdoba,Estatal,194.0
Córdoba,Privado,429.0
Entre Ríos,Estatal,135.0
Entre Ríos,Privado,301.0
Formosa,Estatal,132.0
Formosa,Privado,262.0
Jujuy,Estatal,169.0
Jujuy,Privado,360.0
La Pampa,Estatal,189.0
La Pampa,Privado,419.0
La Rioja,Estatal,178.0
La Rioja,Privado,383.0
Mendoza,Estatal,178.0
Mendoza,Privado,383.0
Misiones,Estatal,174.0
Misiones,Privado,378.0
Neuquén,Estatal,171.0
Neuquén,Privado,370.0
Río Negro,Estatal,161.0
Río Negro,Privado,341.0
Salta,Estatal,190.0
Salta,Privado,425.0
San Juan,Estatal,179.0
San Juan,Privado,387.0
San Luis,Estatal,132.0
San Luis,Privado,262.0
Santa Cruz,Estatal,114.0
Santa Cruz,Privado,227.0
Santa Fe,Estatal,179.0
Santa Fe,Privado,387.0
Santiago del Estero,Estatal,194.0
Santiago del Estero,Privado,430.0
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",Estatal,42.0
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",Privado,66.0
Tucumán,Estatal,174.0
Tucumán,Privado,378.0
